short_name,overall,age,height_cm,weight_kg,club_name,club_position,nationality_name,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,skill_dribbling
S. Lončar,71,24,187,74,Ferencvárosi TC,SUB,Bosnia and Herzegovina,2,1,61,62,67,71,65,73,61,54,71
P. Jagielka,70,38,180,87,Derby County,RCB,England,2,2,32,44,55,52,72,62,30,73,44
A. Boruc,70,41,193,88,Legia Warszawa,GK,Poland,1,2,,,,,,,11,11,14
G. Pegolo,70,40,183,76,U.S. Sassuolo Calcio,SUB,Italy,1,1,,,,,,,18,15,11
S. Bossut,70,35,187,80,SV Zulte Waregem,SUB,Belgium,1,1,,,,,,,13,12,11
Aitor Sanz,70,36,181,71,CD Tenerife,LDM,Spain,2,1,55,61,71,66,64,72,54,42,63
E. Papa,70,39,169,67,Arsenal de Sarandí,LB,Argentina,3,1,70,47,72,70,65,65,39,57,65
S. Kırıntılı,70,36,185,78,Aytemiz Alanyaspor,GK,Turkey,1,1,,,,,,,13,16,13
E. Albayrak,70,30,179,69,Antalyaspor,SUB,Turkey,3,1,80,65,68,71,65,65,58,50,71
A. Rebrov,70,37,193,90,Spartak Moskva,SUB,Russia,1,1,,,,,,,13,14,16
V. Demarconnay,70,38,180,71,Paris FC,GK,France,1,1,,,,,,,12,20,15
A. Tettey,70,35,180,68,Rosenborg BK,CDM,Norway,2,1,55,63,63,63,71,76,55,62,61
A. McGeady,70,35,177,71,Sunderland,LM,Republic of Ireland,5,2,70,68,69,74,44,55,65,60,73
J. Lewis,70,33,198,85,Aberdeen,GK,England,1,1,,,,,,,19,13,11
G. Hoarau,70,37,193,85,FC Sion,ST,France,3,2,37,72,67,66,43,69,73,82,67
U. Hünemeier,70,35,189,85,SC Paderborn 07,RCB,Germany,2,1,36,47,60,55,72,64,40,66,50
G. İnler,70,37,183,80,Adana Demirspor,SUB,Switzerland,2,3,39,67,72,68,68,68,56,64,70
S. Taylor,70,35,188,91,Wellington Phoenix,RCB,England,2,1,52,39,59,54,69,78,36,71,47
R. Verenas,70,37,186,82,Club River Plate Asunción,SUB,Chile,4,1,64,71,62,73,41,71,71,66,74
N. Ortigoza,70,36,180,78,San Lorenzo de Almagro,CM,Paraguay,2,1,34,60,75,65,65,66,55,60,62
F. Haroun,70,35,188,73,Royal Antwerp FC,SUB,Belgium,3,1,43,53,62,56,72,76,39,62,52
G. Gillet,70,37,186,81,Royal Charleroi S.C.,SUB,Belgium,3,2,55,66,66,67,69,75,64,72,65
J. Ruddy,70,34,193,97,Wolverhampton Wanderers,SUB,England,1,2,,,,,,,7,12,11
C. Davies,70,36,188,76,Derby County,LCB,England,2,2,45,36,45,53,72,63,32,73,42
A. Le Fondre,70,34,180,73,Sydney FC,LS,England,3,1,64,73,62,70,30,71,76,66,67
S. Fletcher,70,34,186,76,Stoke City,LS,Scotland,3,1,51,71,59,68,33,69,71,79,66
A. Federici,70,36,188,90,Macarthur FC,GK,Australia,1,1,,,,,,,18,18,19
J. Błaszczykowski,70,35,175,67,Wisła Kraków,RES,Poland,3,2,68,70,73,72,58,42,67,48,70
K. Nababkin,70,34,184,77,PFC CSKA Moscow,SUB,Russia,2,2,68,59,62,60,70,73,60,65,56
V. Stojković,70,37,193,96,Al Fayha,GK,Serbia,1,2,,,,,,,13,10,8
L. Freeman,70,29,172,73,Sheffield United,SUB,England,3,1,69,66,71,73,51,62,65,40,72
A. Eschenko,70,37,176,74,Spartak Moskva,SUB,Russia,2,1,67,57,66,66,68,68,61,66,58
S. Bamba,70,36,190,86,Middlesbrough,SUB,Côte d'Ivoire,2,1,35,28,41,52,71,72,27,71,57
L. Grabban,70,33,183,78,Nottingham Forest,SUB,England,3,1,61,71,59,68,31,67,72,72,66
P. Barrera,70,34,178,72,Gallos Blancos de Querétaro,RM,Mexico,3,1,74,65,69,70,44,66,64,52,70
R. Williams,70,32,185,78,Western Sydney Wanderers,CB,Australia,2,1,60,52,63,64,68,79,49,67,66
G. Torres,70,32,181,78,Club Universidad Nacional,LS,Panama,3,1,82,66,59,69,32,71,69,65,69
J. Vossen,70,32,183,79,SV Zulte Waregem,LS,Belgium,3,2,54,73,70,68,36,68,73,67,64
N. Dirar,70,35,187,86,Kasimpaşa SK,SUB,Morocco,3,2,71,65,68,71,66,75,62,51,71
S. Grippo,70,32,188,80,FC Lausanne-Sport,RCB,Switzerland,2,1,52,59,62,56,69,79,48,73,52
H. Özmert,70,36,183,80,Antalyaspor,SUB,Turkey,3,1,37,68,73,67,65,71,63,67,66
A. Jędrzejczyk,70,33,189,86,Legia Warszawa,RCB,Poland,2,1,57,48,56,61,68,79,43,67,60
S. Iacoponi,70,34,180,73,Parma,SUB,Italy,2,1,76,32,49,55,73,71,28,66,40
W. Brama,70,34,176,77,FC Twente,RDM,Netherlands,2,1,40,52,66,66,68,68,43,63,65
F. Peluso,70,37,188,82,U.S. Sassuolo Calcio,SUB,Italy,2,2,49,49,58,59,73,67,41,76,59
Xavi Torres,70,34,182,76,CD Lugo,SUB,Spain,2,1,48,59,66,63,66,77,49,58,58
V. Mannone,70,33,189,77,AS Monaco,RES,Italy,1,1,,,,,,,16,14,15
G. Hooper,70,33,179,82,Wellington Phoenix,LS,England,3,1,59,72,61,67,30,68,74,72,64
E. Insúa,70,32,180,79,Club Atlético Aldosivi,LCB,Argentina,3,2,61,60,65,69,67,74,47,65,70
Léo Silva,70,35,181,76,Kashima Antlers,RDM,Brazil,3,1,49,67,70,71,65,76,66,55,73
M. Langerak,70,32,193,78,Nagoya Grampus,GK,Australia,1,2,,,,,,,13,19,14
M. Mavraj,70,35,189,84,Türkgücü München,CB,Albania,2,2,34,27,51,42,72,70,25,77,29
L. Barrios,70,36,188,84,Defensa y Justicia,SUB,Paraguay,3,3,56,71,62,66,42,70,72,73,67
J. Howson,70,33,180,77,Middlesbrough,CDM,England,3,1,57,68,67,70,69,72,63,60,68
Rui Fonte,70,31,181,73,Estoril Praia,SUB,Portugal,3,2,63,68,67,70,42,61,71,70,66
C. Yacob,70,33,181,73,Club Atlético Huracán,CDM,Argentina,2,2,41,59,59,63,70,71,57,73,59
N. De Pauw,70,31,180,76,Royal Antwerp FC,SUB,Congo DR,3,1,68,66,68,69,61,76,62,62,68
Y. Sankharé,70,31,184,76,GZT Giresunspor,SUB,Senegal,3,2,63,68,69,70,71,78,66,77,71
Sergio Tejera,70,31,180,75,FC Cartagena,LDM,Spain,2,1,69,70,69,69,67,74,66,59,68
J. Villafaña,70,31,175,68,LA Galaxy,LB,United States,3,1,76,57,67,68,63,67,54,57,67
J. Allen,70,31,168,62,Stoke City,CM,Wales,3,1,66,61,69,73,70,68,60,52,68
S. Ribas,70,33,189,80,Club Atlético Central Córdoba,LS,Uruguay,3,1,62,73,51,65,30,73,73,78,65
D. Odoi,70,33,178,72,Fulham,RES,Belgium,3,1,73,51,64,72,67,67,45,61,72
S. Candia,70,37,184,82,Guaireña FC,LCB,Paraguay,2,1,60,42,50,51,70,72,40,68,34
P. Zeballos,70,35,180,75,Club River Plate Asunción,SUB,Paraguay,3,1,66,71,69,69,33,62,72,71,70
Marcos Paulo,70,32,181,78,FC Vizela,RDM,Brazil,3,1,67,63,70,71,66,69,51,61,71
G. Vural,70,33,177,65,Antalyaspor,LB,Turkey,3,1,79,67,69,73,63,63,60,65,72
G. Cameron,70,35,191,84,FC Cincinnati,RCB,United States,3,2,46,55,63,64,68,74,49,72,63
R. Espinoza,70,34,178,82,Sporting Kansas City,RCM,Honduras,3,1,53,67,68,70,69,81,62,70,70
E. Muñoz,70,30,185,81,Club Atlético Independiente,SUB,Argentina,2,1,52,31,49,52,70,73,21,76,48
J. Montero,70,31,170,67,Gallos Blancos de Querétaro,SUB,Ecuador,4,1,85,65,66,77,29,55,60,50,78
O. Merlo,70,35,185,80,Club Sporting Cristal,LCB,Argentina,2,1,54,35,51,46,68,75,35,76,29
M. Ponce,70,32,176,83,Club Deportivo Guadalajara,SUB,Mexico,3,1,70,56,63,65,66,78,45,50,64
J. Jantscher,70,32,181,69,SK Sturm Graz,LS,Austria,3,1,66,71,70,68,37,61,71,65,67
J. Dom,70,31,173,71,K Beerschot VA,RB,Belgium,2,1,75,58,63,63,65,73,50,47,58
M. Sau,70,33,169,65,Benevento,LF,Italy,4,2,83,67,66,76,30,56,67,49,74
Marc Valiente,70,34,184,73,Real Sporting de Gijón,LCB,Spain,2,1,53,33,57,54,71,72,21,70,43
Saúl Berjón,70,35,178,84,Burgos CF,LM,Spain,3,1,78,68,70,71,41,62,66,43,71
M. Johansson,70,29,174,66,Legia Warszawa,SUB,Sweden,3,1,83,49,55,71,63,67,51,54,70
C. Toselli,70,33,183,75,Club Deportivo Palestino,GK,Chile,1,1,,,,,,,20,17,16
N. Baker,70,30,189,82,Bristol City,SUB,England,2,1,48,34,43,44,70,75,30,72,36
S. Colombi,70,30,188,83,Parma,SUB,Italy,1,1,,,,,,,15,18,10
A. Sobiech,70,31,184,75,Lech Poznań,SUB,Poland,2,1,68,69,56,68,32,72,72,74,66
Ríos Reina,70,31,180,78,SD Ponferradina,LB,Spain,2,1,75,54,67,67,63,76,43,56,68
Z. Ondrášek,70,32,187,84,Tromsø IL,SUB,Czech Republic,2,1,66,68,54,64,32,80,71,80,63
Álvaro Giménez,70,30,183,83,Real Zaragoza,SUB,Spain,3,1,71,71,58,67,30,66,76,66,66
T. Viudez,70,31,166,64,Club Atlético Rentistas,SUB,Uruguay,3,1,68,70,66,75,27,50,72,71,76
İ. Köybaşı,70,31,178,70,Trabzonspor,LB,Turkey,3,2,75,64,71,73,64,66,57,56,74
D. Sorgić,70,31,177,74,FC Luzern,ST,Serbia,3,1,57,73,63,71,42,71,74,65,67
P. Tachtsidis,70,30,191,86,Al Fayha,LCM,Greece,3,2,46,60,73,63,66,75,45,73,64
Tomeu Nadal,70,32,187,82,Real Oviedo,SUB,Spain,1,1,,,,,,,14,18,13
D. de Buen,70,29,182,79,Puebla FC,RCM,Mexico,2,1,56,65,67,62,65,75,57,58,58
S. Hierländer,70,30,180,73,SK Sturm Graz,RM,Austria,3,1,68,65,68,70,65,72,62,64,69
E. Lamanna,70,31,187,80,AC Monza,GK,Italy,1,1,,,,,,,19,17,18
E. Salomonsson,70,32,182,73,Avispa Fukuoka,RB,Sweden,2,1,79,67,65,66,63,76,69,53,66
J. Isijara,70,31,180,76,Santos Laguna,SUB,Mexico,3,1,71,63,66,71,47,65,63,54,71
J. Rodríguez,70,28,186,85,Club Deportivo Guadalajara,SUB,Mexico,1,1,,,,,,,11,11,10
Cristóbal,70,37,181,77,CF Fuenlabrada,RDM,Spain,2,1,66,67,68,69,68,70,62,55,68
Fontàs,70,31,185,86,Sporting Kansas City,LCB,Spain,2,1,30,48,66,60,71,72,45,69,58
Juan Villar,70,33,182,72,Unión Deportiva Almería,SUB,Spain,3,1,89,68,67,71,36,71,68,62,69
L. Thy,70,29,184,78,Sparta Rotterdam,ST,Germany,3,1,73,69,63,67,46,74,72,68,66
Marc Mateu,70,31,180,71,SD Huesca,LB,Spain,3,1,67,67,69,70,65,66,63,57,70
E. Prib,70,31,180,77,Fortuna Düsseldorf,LDM,Russia,3,1,61,67,69,70,65,68,61,55,68
E. Schelotto,70,32,187,77,Racing Club,SUB,Italy,3,1,61,60,64,65,69,70,52,64,67
D. Falcinelli,70,30,186,75,Bologna,SUB,Italy,3,1,65,69,52,70,23,64,71,70,70
I. Pillud,70,35,178,82,Racing Club,SUB,Argentina,2,1,65,50,65,62,69,78,35,54,62
W. Foderingham,70,30,185,75,Sheffield United,SUB,England,1,1,,,,,,,13,20,12
Ö. Bayram,70,29,173,73,Galatasaray SK,SUB,Turkey,2,1,76,67,68,72,63,69,60,48,74
F. Pisacane,70,35,178,77,Lecce,SUB,Italy,2,1,60,26,52,62,72,66,20,65,61
C. Mavinga,70,30,185,78,Toronto FC,SUB,Congo DR,3,1,81,39,62,63,68,76,36,69,61
N. Colazo,70,30,175,71,Gimnasia y Esgrima La Plata,SUB,Argentina,3,1,73,63,70,70,62,67,56,59,70
C. Groß,70,32,183,75,SV Werder Bremen,CDM,Germany,2,1,56,55,62,67,70,70,54,65,65
A. Weimann,70,29,178,76,Bristol City,RM,Austria,3,1,81,69,62,70,45,70,69,68,70
J. Collins,70,30,188,86,Cardiff City,SUB,Republic of Ireland,2,1,66,69,55,66,41,82,72,72,65
V. Sarı,70,32,184,76,Antalyaspor,LCB,Turkey,2,1,60,54,60,64,71,77,40,70,68
A. Potuk,70,30,177,67,Çaykur Rizespor,SUB,Turkey,3,1,75,62,69,72,52,68,57,59,71
Marco Paixão,70,36,185,79,Altay SK,SUB,Portugal,3,1,36,73,61,68,29,69,74,79,66
F. Ulvestad,70,29,183,84,Demir Grup Sivasspor,SUB,Norway,3,1,64,64,67,71,69,79,62,68,70
K. Musona,70,31,177,71,Al Tai,CAM,Zimbabwe,3,1,74,70,68,73,38,64,68,57,72
Daniel Ayala,70,30,190,84,Blackburn Rovers,LCB,Spain,2,1,57,41,50,61,70,73,43,73,61
S. Okazaki,70,35,174,70,FC Cartagena,SUB,Japan,3,2,59,69,67,71,51,67,68,74,71
A. Zabolotnyi,70,30,191,90,PFC CSKA Moscow,SUB,Russia,2,1,69,70,56,61,31,78,72,77,57
L. Marrone,70,31,186,75,AC Monza,SUB,Italy,3,1,53,58,71,71,70,71,40,72,72
M. Paniagua,70,34,180,80,Guaireña FC,RCB,Paraguay,2,1,59,48,65,58,68,68,45,46,53
F. Hanin,70,31,177,73,Paris FC,LB,France,3,1,79,44,66,68,65,72,38,58,67
Dani Jiménez,70,31,179,72,AD Alcorcón,GK,Spain,1,1,,,,,,,13,13,12
D. Batth,70,30,191,90,Stoke City,SUB,England,2,1,32,23,42,39,70,83,20,75,31
G. Hairemans,70,29,183,64,KV Mechelen,RM,Belgium,3,1,45,68,75,70,47,67,61,38,70
C. Lampe,70,34,192,85,Vélez Sarsfield,SUB,Bolivia,1,1,,,,,,,17,12,20
B. Leroy,70,32,184,74,AC Ajaccio,GK,France,1,1,,,,,,,13,12,14
J. Sala,70,29,181,75,Spezia,SUB,Italy,3,1,67,60,68,69,68,69,50,60,68
D. Alibec,70,30,187,88,CFR Cluj,SUB,Romania,3,1,68,72,65,70,40,81,71,60,73
E. Larsson,70,29,176,72,Malmö FF,RB,Sweden,2,1,65,54,66,65,64,79,45,50,63
M. Gillespie,70,29,192,83,Newcastle United,RES,England,1,1,,,,,,,16,11,17
G. Cunningham,70,30,183,70,Preston North End,LWB,Republic of Ireland,3,1,63,54,64,68,68,73,55,66,68
Jordi Amat,70,29,184,83,KAS Eupen,CB,Spain,2,2,62,48,53,56,69,76,34,68,50
A. Kačaniklić,70,29,181,72,Hajduk Split,RES,Sweden,3,1,75,67,67,70,41,58,68,62,70
G. Castellani,70,33,183,75,Unión La Calera,RDM,Argentina,4,1,65,66,73,72,60,76,59,68,73
A. Ujah,70,30,180,81,1. FC Union Berlin,RES,Nigeria,3,2,64,70,54,68,33,67,70,79,69
L. Mendoza,70,31,173,72,Cruz Azul,SUB,Mexico,3,1,83,62,64,71,41,69,59,54,71
N. Đurđić,70,35,184,77,Degerfors IF,SUB,Serbia,3,1,67,69,63,68,48,74,69,69,66
Raúl Navas,70,33,186,84,Unión Deportiva Las Palmas,LCB,Spain,2,1,34,45,54,46,70,63,36,68,25
S. Ciss,70,32,174,72,AS Nancy Lorraine,LB,Senegal,3,1,80,62,62,67,65,79,61,62,66
A. Najar,70,28,170,69,D.C. United,RCB,Honduras,3,2,73,62,67,72,70,63,61,59,72
R. Amalfitano,70,31,173,68,Al Faisaly,RF,France,3,1,53,59,70,72,66,64,64,26,72
V. Pajot,70,30,180,70,FC Metz,SUB,France,2,1,53,58,70,69,70,69,52,71,69
N. Isimat-Mirin,70,29,187,78,Sporting Kansas City,SUB,France,2,1,46,34,53,47,69,74,28,73,36
I. Cofie,70,29,184,75,Demir Grup Sivasspor,CDM,Ghana,3,1,67,58,63,64,70,74,47,59,61
A. Abrashi,70,31,172,74,Grasshopper Club Zürich,LCM,Albania,2,1,54,50,56,61,68,76,43,38,54
T. Beermann,70,30,188,85,VfL Osnabrück,SUB,Germany,2,1,40,39,48,43,71,75,37,73,36
M. Aguirregaray,70,32,174,78,Estudiantes de La Plata,SUB,Uruguay,3,1,72,53,65,70,66,75,39,62,71
H. Tekin,70,32,183,75,Kasimpaşa SK,GK,Turkey,1,1,,,,,,,10,11,14
Gálvez,70,32,188,79,UD Ibiza,SUB,Spain,2,2,34,40,60,57,69,78,29,69,54
J. Cuffaut,70,33,180,74,Valenciennes FC,LCB,France,3,1,68,58,64,61,70,78,51,70,55
Aridai,70,32,168,73,Odisha FC,ST,Spain,3,1,80,69,59,77,26,59,70,58,78
Fran Vélez,70,30,182,79,Panathinaikos FC,RCB,Spain,2,1,54,35,63,63,68,78,28,63,60
Josué,70,30,174,68,Legia Warszawa,SUB,Portugal,4,1,49,71,73,70,52,59,68,57,70
Pedro Moreira,70,32,182,76,FC Arouca,LDM,Portugal,3,1,48,64,64,66,66,72,63,63,65
E. Çolak,70,30,169,67,Atakaş Hatayspor,SUB,Turkey,4,2,66,67,73,73,48,49,61,57,72
J. Paterson,70,29,175,68,Swansea City,LCM,England,3,1,75,65,68,72,39,50,66,57,71
A. Nukan,70,27,196,86,Göztepe SK,LCB,Turkey,2,1,40,37,54,51,70,78,29,75,49
S. García,70,32,191,88,Unión La Calera,SUB,Argentina,2,1,67,52,62,63,71,74,49,72,59
B. Douglas,70,31,177,70,Lech Poznań,LB,Scotland,3,1,64,64,72,67,68,63,58,59,64
Douglas Vieira,70,33,189,82,Sanfrecce Hiroshima,SUB,Brazil,3,1,61,70,62,65,28,79,74,71,65
Lee Yong,70,34,180,76,Jeonbuk Hyundai Motors,RB,Korea Republic,2,2,75,52,66,64,66,71,50,52,59
R. Leonard,70,29,185,82,Millwall,SUB,England,3,1,79,65,65,67,67,78,58,60,66
T. Ciğerci,70,29,185,85,İstanbul Başakşehir FK,CDM,Turkey,3,2,66,65,69,69,69,79,60,68,69
C. Knasmüllner,70,29,181,70,SK Rapid Wien,SUB,Austria,3,1,80,65,69,71,42,66,64,45,68
André Martins,70,31,168,65,Legia Warszawa,RCM,Portugal,3,1,78,62,70,75,62,60,60,51,71
D. Kaiser,70,32,171,69,Hannover 96,SUB,Germany,3,1,63,66,70,71,57,68,65,43,69
D. Henry,70,28,188,88,Suwon Samsung Bluewings,LCB,Canada,3,1,66,44,50,52,68,84,36,70,46
K. Kusk,70,29,180,67,Aalborg BK,SUB,Denmark,3,1,74,64,70,71,38,65,64,47,70
Kim Young Gwon,70,31,186,74,Gamba Osaka,LCB,Korea Republic,2,1,69,45,62,58,71,78,39,68,52
N. Nikolić,70,33,180,76,,,Hungary,3,1,64,70,60,67,31,67,70,71,65
V. Berisha,70,27,175,75,Viking FK,ST,Norway,3,1,82,69,63,70,36,84,70,57,69
Kim Jin Hyeon,70,33,192,82,Cerezo Osaka,GK,Korea Republic,1,1,,,,,,,13,19,14
Erik Morán,70,30,187,74,SD Ponferradina,LDM,Spain,2,1,42,47,66,66,67,73,40,58,66
A. Khalili,70,29,180,76,Hammarby IF,SUB,Sweden,3,1,69,66,69,72,64,70,66,51,72
C. Sapong,70,32,185,84,Nashville SC,RS,United States,3,1,73,68,60,67,40,81,72,72,67
Z. Erdal,70,33,182,73,Demir Grup Sivasspor,SUB,Turkey,2,1,67,51,59,62,68,74,42,58,60
L. Pernica,70,31,188,86,FC Viktoria Plzeň,SUB,Czech Republic,2,1,65,38,54,54,70,75,25,73,47
Álvaro Rey,70,31,183,78,Club Bolívar,SUB,Spain,3,1,77,66,66,72,45,65,69,44,76
L. Griffiths,70,30,174,77,Dundee FC,SUB,Scotland,3,1,68,74,63,69,24,62,73,67,68
A. Taggart,70,28,183,69,Cerezo Osaka,RS,Australia,3,1,83,70,62,70,38,69,69,63,66
N. Wells,70,31,170,69,Bristol City,SUB,Bermuda,3,1,74,70,63,70,44,62,72,68,67
S. McDermott,70,28,185,83,Kristiansund BK,GK,Republic of Ireland,1,1,,,,,,,10,14,14
B. Siegrist,70,29,194,85,Dundee United,RES,Switzerland,1,1,,,,,,,11,12,12
C. Nyman,70,28,185,82,IFK Norrköping,ST,Sweden,3,1,82,69,58,66,34,81,71,69,66
Sin Jin Ho,70,32,177,72,Pohang Steelers,RDM,Korea Republic,3,1,59,64,72,69,63,74,61,55,68
Héber,70,29,180,72,New York City FC,SUB,Brazil,3,1,65,70,55,65,32,69,77,72,61
B. Assombalonga,70,28,177,79,Adana Demirspor,LW,Congo DR,3,1,74,69,58,67,35,73,70,73,67
Thiago Galhardo,70,31,183,75,RC Celta de Vigo,SUB,Brazil,4,1,64,74,47,67,24,52,79,74,73
T. Kongolo,70,27,188,70,Fulham,SUB,Netherlands,2,2,66,43,60,65,70,71,27,67,63
J. Ščuk,70,30,184,71,Altay SK,SUB,Bosnia and Herzegovina,3,1,58,62,67,69,68,68,56,61,68
S. Bradley,70,29,196,90,Luton Town,SUB,England,2,1,55,31,47,51,69,76,28,71,44
J. Fjóluson,70,32,193,85,Hammarby IF,LCB,Iceland,2,1,40,48,58,52,69,78,36,75,48
M. de Leeuw,70,34,178,67,FC Groningen,ST,Netherlands,3,1,53,69,61,68,58,69,69,82,66
J. Okore,70,28,180,80,Changchun Yatai FC,RCB,Denmark,2,2,66,42,52,57,66,86,34,69,56
M. Barreto,70,30,175,68,AC Ajaccio,RM,France,3,1,82,63,68,70,27,66,62,47,69
K. Frei,70,27,171,70,Fatih Karagümrük S.K.,SUB,Turkey,3,1,88,63,65,77,35,50,58,38,77
S. Berahino,70,27,180,82,Sheffield Wednesday,SUB,Burundi,3,2,71,71,66,72,29,64,70,58,72
J. Korb,70,29,177,70,Holstein Kiel,RB,Germany,3,1,71,48,65,72,66,62,49,43,70
Elber,70,29,170,70,Yokohama F. Marinos,RM,Brazil,3,1,85,64,64,73,25,51,64,53,74
I. Šehić,70,32,190,79,İttifak Holding Konyaspor,GK,Bosnia and Herzegovina,1,2,,,,,,,7,12,11
F. Lucioni,70,33,185,80,Lecce,LCB,Italy,2,1,50,33,47,51,71,71,33,73,42
P. Olkowski,70,31,184,76,Gazişehir Gaziantep F.K.,SUB,Poland,3,1,74,57,63,66,65,72,50,55,65
D. Rubio,70,28,180,77,Colorado Rapids,SUB,Chile,3,1,65,72,59,71,36,69,72,68,70
Y. Brecher,70,28,196,88,FC Zürich,GK,Switzerland,1,1,,,,,,,13,13,16
Adrián Ortolá,70,27,187,74,Girona FC,SUB,Spain,1,1,,,,,,,14,16,18
K. Naismith,70,29,185,78,Luton Town,LCB,Scotland,3,1,68,65,65,66,67,74,63,67,65
P. Klement,70,28,175,72,VfB Stuttgart,SUB,Germany,3,1,57,66,75,73,40,53,62,49,73
Z. Tripić,70,28,182,74,Viking FK,LW,Norway,3,1,81,70,65,71,41,75,65,53,73
M. Thiede,70,29,178,75,Karlsruher SC,RB,Germany,2,1,74,48,66,68,63,67,46,48,66
L. Krajnc,70,26,187,86,Hannover 96,SUB,Slovenia,2,1,62,32,53,60,69,76,25,64,56
D. Bulthuis,70,31,192,78,Ulsan Hyundai FC,LCB,Netherlands,2,1,49,37,52,43,69,84,29,76,35
R. Woods,70,27,173,70,Birmingham City,RCM,England,3,1,72,54,68,73,63,69,49,48,69
A. Poko,70,28,173,72,Altay SK,RCM,Gabon,3,1,74,57,61,70,68,77,56,60,72
J. Dezi,70,29,178,68,Venezia FC,SUB,Italy,3,1,76,66,66,70,62,67,69,52,69
K. Coulibaly,70,29,197,87,FC Nantes,SUB,Mali,2,1,70,70,60,62,26,76,69,70,66
B. Uphoff,70,27,192,84,Sport-Club Freiburg,SUB,Germany,1,1,,,,,,,8,12,10
Y. Benzia,70,26,179,71,Dijon FCO,CAM,Algeria,4,2,66,68,70,73,45,60,66,64,74
S. Falette,70,29,184,91,Atakaş Hatayspor,LCB,Guinea,2,1,68,44,46,47,69,80,39,75,42
C. Walton,70,25,195,72,Ipswich Town,SUB,England,1,1,,,,,,,20,15,19
P. Mpanzu,70,27,175,74,Luton Town,LCM,Congo DR,3,1,79,62,64,72,68,80,59,67,73
M. Pearson,70,27,190,78,Huddersfield Town,RCB,England,2,1,60,43,50,55,70,76,42,75,51
Sergi Samper,70,26,182,73,Vissel Kobe,CDM,Spain,3,1,41,43,66,66,66,68,35,48,63
A. Mawson,70,27,189,90,Fulham,SUB,England,2,1,54,40,49,57,71,70,44,75,55
Z. Bytyqi,70,24,176,70,İttifak Holding Konyaspor,LM,Kosovo,4,1,79,67,67,71,34,69,65,49,70
Rober Correa,70,28,180,71,SD Eibar,SUB,Spain,2,1,73,43,59,63,67,74,38,63,58
P. Kühn,70,28,188,95,VfL Osnabrück,GK,Germany,1,1,,,,,,,15,16,18
Andy,70,31,185,79,Burgos CF,LDM,Spain,2,1,57,66,71,68,66,71,64,59,67
Y. M'Changama,70,30,175,70,En Avant de Guingamp,CAM,Comoros,3,1,84,61,69,73,63,73,59,45,70
J. Giraudon,70,29,184,66,ESTAC Troyes,CB,France,2,1,53,36,58,58,71,72,29,72,54
L. Cardozo,70,32,180,75,Club Libertad,SUB,Paraguay,2,1,77,35,46,55,71,73,35,60,44
B. van Hintum,70,34,177,76,FC Groningen,LB,Netherlands,2,1,52,53,70,64,71,68,39,66,60
Gerso,70,30,173,64,Jeju United FC,LW,Guinea Bissau,3,1,92,65,61,73,41,52,62,48,71
Alison,70,28,180,70,Al Hazem,LDM,Brazil,2,1,62,49,56,62,71,75,43,59,62
D. Bachmann,70,26,191,81,Watford,GK,Austria,1,1,,,,,,,17,12,14
J. Vázquez,70,33,166,64,Deportivo Toluca,LCM,Mexico,2,1,70,53,67,66,69,68,40,53,59
B. Touré,70,29,183,73,AJ Auxerre,CDM,Mali,2,1,40,52,63,65,68,77,42,62,61
J. Brenet,70,27,181,74,TSG Hoffenheim,RES,Netherlands,3,1,79,36,61,69,67,66,36,65,71
J. Jeanvier,70,28,185,84,Brentford,RES,Guinea,2,1,68,35,49,54,69,73,30,70,45
G. Lovrencsics,70,32,177,75,Hajduk Split,RB,Hungary,3,1,82,66,66,67,64,69,58,64,64
E. Herrera,70,34,186,75,Argentinos Juniors,SUB,Argentina,3,1,56,72,53,65,26,74,74,62,65
L. Zuffi,70,31,182,76,FC Sion,RCM,Switzerland,3,1,52,68,74,68,65,65,66,59,67
L. Quintana,70,29,180,70,Club Necaxa,LCB,Mexico,2,1,50,42,53,62,70,77,41,70,62
L. Đorđević,70,26,185,74,Vejle Boldklub,ST,Montenegro,3,1,78,68,62,70,32,60,73,73,71
R. Improta,70,27,179,73,Benevento,SUB,Italy,3,1,81,62,62,72,55,56,62,43,72
R. Fiamozzi,70,28,178,76,Empoli,SUB,Italy,3,1,84,49,62,65,63,77,49,42,63
M. Al Owais,70,29,187,79,Al Ahli,GK,Saudi Arabia,1,1,,,,,,,20,20,14
E. Flores,70,27,170,70,D.C. United,RES,Peru,4,1,75,66,67,73,38,59,65,39,71
L. García,70,28,181,86,Deportivo Toluca,GK,Mexico,1,1,,,,,,,19,20,19
De La Hoz,70,29,179,74,Unión Deportiva Almería,SUB,Spain,2,1,55,58,60,64,67,75,61,60,62
Pablo Valcarce,70,28,173,70,Burgos CF,SUB,Spain,4,1,77,67,66,71,51,68,66,47,69
A. Traustason,70,28,183,75,New England Revolution,SUB,Iceland,3,1,81,67,65,69,55,72,65,43,67
R. Azeez,70,28,169,67,Granada CF,SUB,Nigeria,2,1,65,59,63,67,66,76,51,53,66
C. Jean,70,25,170,70,Racing Club de Lens,SUB,France,3,1,78,70,69,74,31,58,69,63,71
